Sequences,"A,a","E,e","I,i","O,o","U,u",Consonants
j1DLfIriN,0,0,2,0,0,7
7P1hnBgS,0,0,0,0,0,8
dA5iqcFH,1,0,1,0,0,6
wvaU8FaXhL,2,0,0,0,1,7
CdGOXGBy,0,0,0,1,0,7
iKGHnJBpA,1,0,1,0,0,7
z56cljs,0,0,0,0,0,7
0jyAFmy,1,0,0,0,0,6
WxF6X2,0,0,0,0,0,6
wplATqPb,1,0,0,0,0,7
6zzqQoSQd,0,0,0,1,0,8
qP3bNxtAP,1,0,0,0,0,8
7nyS3GjtqZ,0,0,0,0,0,10
Ca2AKcLo,2,0,0,1,0,5
1AMRor,1,0,0,1,0,4
ck307tmh,0,0,0,0,0,8
aoT2tz,1,0,0,1,0,4
SZOeWnIPS,0,1,1,1,0,6
7Ba5E5HGK,1,1,0,0,0,7
o0AOntVw,1,0,0,2,0,5
NSTMrV,0,0,0,0,0,6
BtGATaAe,3,1,0,0,0,4
qLQnFozNt,0,0,0,1,0,8
yU73Hqjr58,0,0,0,0,1,9
0FELjufj,0,1,0,0,1,6
PmMRIyYnPm,0,0,1,0,0,9
7JiWRZDeP,0,1,1,0,0,7
LasWxeg0BE,1,2,0,0,0,7
dnzg1lvu8,0,0,0,0,1,8
q6UmTg,0,0,0,0,1,5
MuBCo1gu0,0,0,0,1,2,6
nO84tB2tzl,0,0,0,1,0,9
9umxAn,1,0,0,0,1,4
MZMxSj5ed,0,1,0,0,0,8
mEVS5gw,0,1,0,0,0,6
R9XoC6N,0,0,0,1,0,6
7Jo058Txa,1,0,0,1,0,7
oSgSdebrFe,0,2,0,1,0,7
JsNhRK,0,0,0,0,0,6
GX1M1r,0,0,0,0,0,6
VwJykSEj,0,1,0,0,0,7
nhQYZro9,0,0,0,1,0,7
Pa9wQZz,1,0,0,0,0,6
nb8XuQC,0,0,0,0,1,6
kgnfAIn,1,0,1,0,0,5
4DcObb8x,0,0,0,1,0,7
SK9Pp50,0,0,0,0,0,7
5iWzoB,0,0,1,1,0,4
y0bd7c,0,0,0,0,0,6
ciUmBC,0,0,1,0,1,4
XrxIXoJfB,0,0,1,1,0,7
5fq3IrbXO,0,0,1,1,0,7
CqmSVbs,0,0,0,0,0,7
DbfBbO5H,0,0,0,1,0,7
C7IhXfpGnA,1,0,1,0,0,8
hkewCw,0,1,0,0,0,5
Ve4DFOxc,0,1,0,1,0,6
RLheVW,0,1,0,0,0,5
81CO89ie,0,1,1,1,0,5
jJig3gf,0,0,1,0,0,6
msxjkPL9,0,0,0,0,0,8
OQvi7YdJU,0,0,1,1,1,6
Cu2caNH47,1,0,0,0,1,7
dTfY52ZDf,0,0,0,0,0,9
Xh2xA6sbLS,1,0,0,0,0,9
ToopNK,0,0,0,2,0,4
l4A0iaZ,2,0,1,0,0,4
eZ7w19i,0,1,1,0,0,5
K3X5tSd1,0,0,0,0,0,8
aPQRO7ZFp9,1,0,0,1,0,8
O8AZH6,1,0,0,1,0,4
LmFTUtIG,0,0,1,0,1,6
zclCqJ,0,0,0,0,0,6
hsiS0V,0,0,1,0,0,5
3DpbwE2C,0,1,0,0,0,7
c4UWA6C0,1,0,0,0,1,6
T0XpBEg,0,1,0,0,0,6
FTxZcPPcxA,1,0,0,0,0,9
OWbUarF,1,0,0,1,1,4
2aY42wo,1,0,0,1,0,5
aVzjU6BKuT,1,0,0,0,2,7
eNRJz9E,0,2,0,0,0,5
VkQWGOUf0e,0,1,0,1,1,7
9Sr9JKck17,0,0,0,0,0,10
1kmPYT,0,0,0,0,0,6
BDhkaiRt,1,0,1,0,0,6
SCw8QSC,0,0,0,0,0,7
TyAsFzu2,1,0,0,0,1,6
mNRDUh,0,0,0,0,1,5
taolRvG5,1,0,0,1,0,6
2rJjTIV9vT,0,0,1,0,0,9
7gospa,1,0,0,1,0,4
qHVq3QW,0,0,0,0,0,7
iuuVfI,0,0,2,0,2,2
UrmRB4be,0,1,0,0,1,6
SixZUtJzWS,0,0,1,0,1,8
3DOqFRP,0,0,0,1,0,6
BRDeUDvTq,0,1,0,0,1,7
EeCvt2,0,2,0,0,0,4
Rk21QUA0r5,1,0,0,0,1,8
zGhPsp8,0,0,0,0,0,7
od3ZCbmdcP,0,0,0,1,0,9
uogbZf0AO,1,0,0,2,1,5
jTV19M69lc,0,0,0,0,0,10
CU4MKiM,0,0,1,0,1,5
p2crikiHF,0,0,2,0,0,7
JZ1pGSQ6,0,0,0,0,0,8
og1S06Hbmp,0,0,0,1,0,9
H5jDZwq6,0,0,0,0,0,8
a1OyBNk,1,0,0,1,0,5
XgjlZq,0,0,0,0,0,6
34GQbpe,0,1,0,0,0,6
lzDZBf,0,0,0,0,0,6
Fh7ewVLTvu,0,1,0,0,1,8
EQOwsjH4jT,0,1,0,1,0,8
SD4Jw7v,0,0,0,0,0,7
SBd5zF,0,0,0,0,0,6
znfTeN,0,1,0,0,0,5
qbBCPs0N,0,0,0,0,0,8
Q9D1RZjJmY,0,0,0,0,0,10
3hJzkIZ,0,0,1,0,0,6
ilQGRpxm,0,0,1,0,0,7
FLyouNoSTg,0,0,0,2,1,7
WBIkRpMiZa,1,0,2,0,0,7
ZLOl4VDO,0,0,0,2,0,6
WXXoSa,1,0,0,1,0,4
GmEIhZV9,0,1,1,0,0,6
ZP7cgXVN,0,0,0,0,0,8
3RgDjwJ4,0,0,0,0,0,8
t3hjGSWR,0,0,0,0,0,8
ZDiNMVs9,0,0,1,0,0,7
o0mD7hH,0,0,0,1,0,6
EiFdpZSPTT,0,1,1,0,0,8
i4rUfU6h,0,0,1,0,2,5
R8aWAKG4GM,2,0,0,0,0,8
4BkFAo3gKl,1,0,0,1,0,8
DzVO3Scop,0,0,0,2,0,7
Zv8Wb0S6d,0,0,0,0,0,9
pJMSnksCFS,0,0,0,0,0,10
Gt4Robee,0,2,0,1,0,5
xIOhJF4Tgw,0,0,1,1,0,8
rAe2FrMZ,1,1,0,0,0,6
gPu8EmJ,0,1,0,0,1,5
xfkPfd0,0,0,0,0,0,7
Uq7dRYu,0,0,0,0,2,5
aRxBkf,1,0,0,0,0,5
9mTggqISV,0,0,1,0,0,8
bMDCXuKajl,1,0,0,0,1,8
FhxEI1,0,1,1,0,0,4
vTTJUMM,0,0,0,0,1,6
90vzSdJvSU,0,0,0,0,1,9
2mWzwGBK,0,0,0,0,0,8
qThoGKfwc,0,0,0,1,0,8
dPH7hp,0,0,0,0,0,6
ohYxTOgyMG,0,0,0,2,0,8
2GseApWuFz,1,1,0,0,1,7
n6E1kN,0,1,0,0,0,5
SdOs3y,0,0,0,1,0,5
9YvVkBDx1s,0,0,0,0,0,10
phOQaUi,1,0,1,1,1,3
Whj0ozu,0,0,0,1,1,5
2DH9nru,0,0,0,0,1,6
kOOozF,0,0,0,3,0,3
OY44Nd,0,0,0,1,0,5
xTtoL12,0,0,0,1,0,6
hJwoL3Jhg,0,0,0,1,0,8
W3WQrslj8,0,0,0,0,0,9
xkBIzHQRuf,0,0,1,0,1,8
4HvS0SKlN,0,0,0,0,0,9
nElrpUU,0,1,0,0,2,4
3LJf3HuM,0,0,0,0,1,7
k7uAKPhfH,1,0,0,0,1,7
XE1V3iO,0,1,1,1,0,4
5Ona9RNs,1,0,0,1,0,6
WXthyOB,0,0,0,1,0,6
kRYS3XDS,0,0,0,0,0,8
joOEwf,0,1,0,2,0,3
AeYx2SMr,1,1,0,0,0,6
S50TLX,0,0,0,0,0,6
UtbHHeonSb,0,1,0,1,1,7
YsdNGGc5P,0,0,0,0,0,9
KWTTvQr,0,0,0,0,0,7
sHKkKnFARL,1,0,0,0,0,9
KcvjqJT,0,0,0,0,0,7
auzzcJ,1,0,0,0,1,4
RrgmELh9,0,1,0,0,0,7
d7NDIl,0,0,1,0,0,5
b9t0HO,0,0,0,1,0,5
xwmwfUP62A,1,0,0,0,1,8
wS1hNn3nGd,0,0,0,0,0,10
emdIgDLE,0,2,1,0,0,5
wRtKsf,0,0,0,0,0,6
SgYSqO74,0,0,0,1,0,7
dPL31qcvi,0,0,1,0,0,8
jZv7dDjR1,0,0,0,0,0,9
ksShSdQmmY,0,0,0,0,0,10
r8CB6SYVzc,0,0,0,0,0,10
HqBczDKif,0,0,1,0,0,8
OVVBWyNek,0,1,0,1,0,7
8mnc0AV,1,0,0,0,0,6
R7Pziq6sx,0,0,1,0,0,8
tnSgiDP,0,0,1,0,0,6
PfHjP2glV,0,0,0,0,0,9
A2HVVTb,1,0,0,0,0,6
Uzn6zwiFQh,0,0,1,0,1,8
EzUoonM,0,1,0,2,1,3
42vSaW8SUg,1,0,0,0,1,8
gM25SY3Gc9,0,0,0,0,0,10
UqQDEhzO,0,1,0,1,1,5
jbkA0Z5,1,0,0,0,0,6
haSRONHfDq,1,0,0,1,0,8
duAVdzJ6N,1,0,0,0,1,7
WcUxKx7d,0,0,0,0,1,7
LR9WjUyq,0,0,0,0,1,7
vTJfHgRj,0,0,0,0,0,8
kNCQ3eg1WW,0,1,0,0,0,9
mC6qD27,0,0,0,0,0,7
12prA9d01S,1,0,0,0,0,9
xupRzzjH,0,0,0,0,1,7
6c48c4,0,0,0,0,0,6
zwOSlthVt9,0,0,0,1,0,9
0xuxyu,0,0,0,0,2,4
43XOVSDz,0,0,0,1,0,7
FWFtflGjy,0,0,0,0,0,9
RjeKkzl,0,1,0,0,0,6
EJ9RcpQPmj,0,1,0,0,0,9
ZICvLTxMD,0,0,1,0,0,8
G7NaCBr,1,0,0,0,0,6
2Zx8Emw02Q,0,1,0,0,0,9
6CGC40nf,0,0,0,0,0,8
Zx0aUlA,2,0,0,0,1,4
viPDGMs6M,0,0,1,0,0,8
mkNRbyG,0,0,0,0,0,7
Ii5jGb,0,0,2,0,0,4
PJpri0II,0,0,3,0,0,5
owcOWnHcq,0,0,0,2,0,7
XEKCxm,0,1,0,0,0,5
EJCRqkw5,0,1,0,0,0,7
bn13HZOfJi,0,0,1,1,0,8
eRq0fFjro,0,1,0,1,0,7
DJg1aYrsFg,1,0,0,0,0,9
l4LA8Sq,1,0,0,0,0,6
kFk64j,0,0,0,0,0,6
E0NPT47,0,1,0,0,0,6
wLG9yYur,0,0,0,0,1,7
Goj8fZ,0,0,0,1,0,5
3IJ2rylVVR,0,0,1,0,0,9
AY3E0cTVH,1,1,0,0,0,7
q2mn73J,0,0,0,0,0,7
6CGjiKXK,0,0,1,0,0,7
EV506mZ,0,1,0,0,0,6
uQvuzd,0,0,0,0,2,4
eN1ZWI39bn,0,1,1,0,0,8
LbJBjE,0,1,0,0,0,5
shnNSp4yu,0,0,0,0,1,8
itCvq6KvM,0,0,1,0,0,8
UkmuMKD,0,0,0,0,2,5
2YAWbMjI4U,1,0,1,0,1,7
dJgSp0reU,0,1,0,0,1,7
liQbCecf,0,1,1,0,0,6
3xmqW6lRF,0,0,0,0,0,9
IEso6i,0,1,2,1,0,2
P1slYZul,0,0,0,0,1,7
WinAqhq0,1,0,1,0,0,6
qdtPGu5fs1,0,0,0,0,1,9
kJQOb7r,0,0,0,1,0,6
TPgQhMKmt,0,0,0,0,0,9
wXpjFB,0,0,0,0,0,6
JAyTrRPwl,1,0,0,0,0,8
KUfZ6rBz,0,0,0,0,1,7
yiEBiNpY9,0,1,2,0,0,6
tiRZ3W6,0,0,1,0,0,6
HEkquQ,0,1,0,0,1,4
naKMggCIRQ,1,0,1,0,0,8
QvgcolK9M0,0,0,0,1,0,9
lxdGgWq,0,0,0,0,0,7
hhRU2O,0,0,0,1,1,4
4V3iz90an,1,0,1,0,0,7
OLZ67j,0,0,0,1,0,5
mJ7H5CL,0,0,0,0,0,7
XHxCaC34wc,1,0,0,0,0,9
SvpwQJ,0,0,0,0,0,6
vsuqN1D,0,0,0,0,1,6
9F1BSXBD,0,0,0,0,0,8
bhkD4y0wi,0,0,1,0,0,8
Lb46M2,0,0,0,0,0,6
jPPDlBgGzO,0,0,0,1,0,9
1GUngLVgj,0,0,0,0,1,8
bpo8Oq,0,0,0,2,0,4
AB525M7Sv,1,0,0,0,0,8
lXKfblaMAL,2,0,0,0,0,8
5AE4N5oW9r,1,1,0,1,0,7
nXV2rZadEz,1,1,0,0,0,8
G7bkBgpO,0,0,0,1,0,7
tjxJE6D,0,1,0,0,0,6
BUG6WF4,0,0,0,0,1,6
LIiUItk,0,0,3,0,1,3
eGmcXYM,0,1,0,0,0,6
vHgNhuJC,0,0,0,0,1,7
gZzdRFmo,0,0,0,1,0,7
x6Hmr9ua99,1,0,0,0,1,8
IomG2A,1,0,1,1,0,3
TOz34w,0,0,0,1,0,5
E5VID3YF5,0,1,1,0,0,7
aZD2gQQa,2,0,0,0,0,6
E0ZKWo,0,1,0,1,0,4
TZ0q2F8F0O,0,0,0,1,0,9
RTJp1dgucV,0,0,0,0,1,9
saqfSf,1,0,0,0,0,5
FphfRMSD9,0,0,0,0,0,9
xGGttXoT1j,0,0,0,1,0,9
SuNRhy45,0,0,0,0,1,7
JnUi6ZEblv,0,1,1,0,1,7
9RcP9ZenKg,0,1,0,0,0,9
I8c3IngoQa,1,0,2,1,0,6
sHFUEXd83E,0,2,0,0,1,7
dLgFg7gT97,0,0,0,0,0,10
bV9exHEC,0,2,0,0,0,6
aGPQZfoj,1,0,0,1,0,6
8GTXVQq,0,0,0,0,0,7
6gqsiMwk,0,0,1,0,0,7
uqJ53z,0,0,0,0,1,5
9g6lBlE,0,1,0,0,0,6
46TqBdF,0,0,0,0,0,7
qSk9lLnFDM,0,0,0,0,0,10
3JmT4p,0,0,0,0,0,6
jQIxIi0SLr,0,0,3,0,0,7
zPgjYXw5rd,0,0,0,0,0,10
hC5uEkaVQ,1,1,0,0,1,6
pwMRWns,0,0,0,0,0,7
xZl63p,0,0,0,0,0,6
xsFkvn0,0,0,0,0,0,7
ayWi1Ctdw,1,0,1,0,0,7
Gpj6Cy,0,0,0,0,0,6
U6J9tF,0,0,0,0,1,5
vZWiwEMEd,0,2,1,0,0,6
wTOI78Ck,0,0,1,1,0,6
zTlvw9Wgas,1,0,0,0,0,9
skyNKUx,0,0,0,0,1,6
Ln61aC,1,0,0,0,0,5
0izB0tt2wC,0,0,1,0,0,9
Oq1uzCIUvR,0,0,1,1,2,6
LlKeIPb,0,1,1,0,0,5
YoAcwclhJ0,1,0,0,1,0,8
qW60FM4Xg,0,0,0,0,0,9
5WHRBM3,0,0,0,0,0,7
owAhohaXLf,2,0,0,2,0,6
J6H5mdZUKB,0,0,0,0,1,9
3pIAMN8pa,2,0,1,0,0,6
37stRls,0,0,0,0,0,7
xVbUUiAJ,1,0,1,0,2,4
fIXpSE3,0,1,1,0,0,5
H782QZ66F,0,0,0,0,0,9
IFBP7WfvFr,0,0,1,0,0,9
GlCP9OMp,0,0,0,1,0,7
IXYUgTV,0,0,1,0,1,5
wSNlZQVi,0,0,1,0,0,7
bcXEV0bpmD,0,1,0,0,0,9
IWN0b31VPc,0,0,1,0,0,9
0HNWRPIjKG,0,0,1,0,0,9
ZnAJZ7x6,1,0,0,0,0,7
flfi4j,0,0,1,0,0,5
dtViqXaI,1,0,2,0,0,5
qaGXGru,1,0,0,0,1,5
ggK5joG4Xv,0,0,0,1,0,9
LIGu5zSK9U,0,0,1,0,2,7
WnPGJ04Fy,0,0,0,0,0,9
5khq3BODOp,0,0,0,2,0,8
AWtOm8E,1,1,0,1,0,4
BqVKryn,0,0,0,0,0,7
Ww1ejpB,0,1,0,0,0,6
N6Jrum,0,0,0,0,1,5
7HkSvv,0,0,0,0,0,6
u8WbSh,0,0,0,0,1,5
KR3JAg,1,0,0,0,0,5
4zoavDVr,1,0,0,1,0,6
Y2BrdxyPj3,0,0,0,0,0,10
1rDFDOJ,0,0,0,1,0,6
H4j9c2,0,0,0,0,0,6
lfnoAQGvs,1,0,0,1,0,7
JHDldHIQ2j,0,0,1,0,0,9
aRFYfhxnI,1,0,1,0,0,7
n7rafznGo,1,0,0,1,0,7
Xc1YcUJ,0,0,0,0,1,6
uA9eecBJw,1,2,0,0,1,5
oDr0NR,0,0,0,1,0,5
8QjGdAt4,1,0,0,0,0,7
jMfe44,0,1,0,0,0,5
Lh25jMPlan,1,0,0,0,0,9
yoIXJIumG,0,0,2,1,1,5
mjVI60IX,0,0,2,0,0,6
8KXULgMrK,0,0,0,0,1,8
oRRJjvDPLh,0,0,0,1,0,9
P1bi0D1,0,0,1,0,0,6
73fwaTpvd,1,0,0,0,0,8
NwaHYd,1,0,0,0,0,5
olSxslSV,0,0,0,1,0,7
z7ndW3ZbmM,0,0,0,0,0,10
n4y4mohKo,0,0,0,2,0,7
uklTYA1XH0,1,0,0,0,1,8
grjqxkwn,0,0,0,0,0,8
YhJp9rP1z5,0,0,0,0,0,10
UPjG2huA,1,0,0,0,2,5
5cEshGYDw,0,1,0,0,0,8
spsUI7vSPO,0,0,1,1,1,7
FLYetLyBD,0,1,0,0,0,8
FcXpV387uf,0,0,0,0,1,9
GdFs7v,0,0,0,0,0,6
ys8V7epX,0,1,0,0,0,7
2eXegep9,0,3,0,0,0,5
TV5f11bGLa,1,0,0,0,0,9
Fvgg0VH,0,0,0,0,0,7
wSCofUGkE,0,1,0,1,1,6
2rl8MzjO,0,0,0,1,0,7
AaLQD85Xk,2,0,0,0,0,7
WbZ2X8c3,0,0,0,0,0,8
7AaTz6NZh2,2,0,0,0,0,8
oA65YZYm,1,0,0,1,0,6
KOuOcmx0h0,0,0,0,2,1,7
xkfHoEn,0,1,0,1,0,5
ubAqM7dJr,1,0,0,0,1,7
KyySj5,0,0,0,0,0,6
X6oT9G3kt,0,0,0,1,0,8
naaYzaX,3,0,0,0,0,4
HA4yPDthM,1,0,0,0,0,8
2inNPE5,0,1,1,0,0,5
5KACYO4,1,0,0,1,0,5
NdlxHzzNY,0,0,0,0,0,9
XUXlDrT,0,0,0,0,1,6
UlvYJ7,0,0,0,0,1,5
JA6mCjXy,1,0,0,0,0,7
Bjz7hTPn,0,0,0,0,0,8
zJcszL,0,0,0,0,0,6
ZZMJz7T,0,0,0,0,0,7
F9Qv5s6K,0,0,0,0,0,8
euSU8p,0,1,0,0,2,3
Ry3g5aq,1,0,0,0,0,6
WTKdU8TT5,0,0,0,0,1,8
01HbNIJZJ,0,0,1,0,0,8
Ow0ZGSd8p,0,0,0,1,0,8
4iEla7K8,1,1,1,0,0,5
d08OZAormm,1,0,0,2,0,7
c0TTSieL,0,1,1,0,0,6
D8bSGgj6,0,0,0,0,0,8
U5lsyq4i,0,0,1,0,1,6
CtU5Bl,0,0,0,0,1,5
sSS6Ram,1,0,0,0,0,6
mXRcvx,0,0,0,0,0,6
KHxva687Q,1,0,0,0,0,8
CYhplV,0,0,0,0,0,6
xpTaGPA,2,0,0,0,0,5
leHUY7Fc,0,1,0,0,1,6
eUmBn1vkx,0,1,0,0,1,7
p0Wvwb,0,0,0,0,0,6
LfTc5nB2o,0,0,0,1,0,8
wKtyz3TU5,0,0,0,0,1,8
EHTGf7jM,0,1,0,0,0,7
w82rfjyB,0,0,0,0,0,8
NyVAJfwPb,1,0,0,0,0,8
dl8i92,0,0,1,0,0,5
cRh6f2QH,0,0,0,0,0,8
sRKkTiDPI3,0,0,2,0,0,8
Jm7MPz3D9,0,0,0,0,0,9
OUyiGrb,0,0,1,1,1,4
V6YjJSdW0y,0,0,0,0,0,10
pzRk0qmU,0,0,0,0,1,7
iSAdEw5,1,1,1,0,0,4
ON27Vu0,0,0,0,1,1,5
uxSaT0GA,2,0,0,0,1,5
gPD732VjqD,0,0,0,0,0,10
lFpngG,0,0,0,0,0,6
9CF9dTypD,0,0,0,0,0,9
3uvUUKr,0,0,0,0,3,4
gbipZeX,0,1,1,0,0,5
6wa7ysd,1,0,0,0,0,6
9NKWRX2,0,0,0,0,0,7
0Y01umri,0,0,1,0,1,6
1j4ZPNwgJ6,0,0,0,0,0,10
geGgRUWGNu,0,1,0,0,2,7
bhfOQQmA,1,0,0,1,0,6
DOrHe2,0,1,0,1,0,4
KHlsgMC,0,0,0,0,0,7
spQ4Lu8zn,0,0,0,0,1,8
IzpXzHqX,0,0,1,0,0,7
TFmGeZoHn7,0,1,0,1,0,8
QyG5oKuqv,0,0,0,1,1,7
81n2xn8,0,0,0,0,0,7
InxxjTZZKK,0,0,1,0,0,9
HjgbCJfC0,0,0,0,0,0,9
rmM66jwDI,0,0,1,0,0,8
5QoXlrjA7,1,0,0,1,0,7
TD40Hz,0,0,0,0,0,6
4uzL30c5,0,0,0,0,1,7
Nuc7IlG,0,0,1,0,1,5
SYdD4dg0b,0,0,0,0,0,9
ZtLEuFmQy7,0,1,0,0,1,8
e3D7e2hA,1,2,0,0,0,5
nKLnYD,0,0,0,0,0,6
Yns7kXPes,0,1,0,0,0,8
icXwMn,0,0,1,0,0,5
ogWnPis,0,0,1,1,0,5
H2TFKCn,0,0,0,0,0,7
BYGmzZD,0,0,0,0,0,7
mRMN3U9,0,0,0,0,1,6
xOAM7kir,1,0,1,1,0,5
Bqyv2Xk,0,0,0,0,0,7
GIVC1jY,0,0,1,0,0,6
f4PIj4N,0,0,1,0,0,6
zeb6dW91,0,1,0,0,0,7
up1xGS2,0,0,0,0,1,6
gg8nooF,0,0,0,2,0,5
jm2bdoDmoz,0,0,0,2,0,8
apk9iep,1,1,1,0,0,4
0VDgPU,0,0,0,0,1,5
pHVvjYePe,0,2,0,0,0,7
ZFmb0Op,0,0,0,1,0,6
PfELAADYU,2,1,0,0,1,5
QqFK31kW,0,0,0,0,0,8
mQM7AgfM,1,0,0,0,0,7
dFYUJsH,0,0,0,0,1,6
ZISxiw,0,0,2,0,0,4
wjoix4tW,0,0,1,1,0,6
HN3J1e,0,1,0,0,0,5
TQzVqY,0,0,0,0,0,6
pSXclRAM,1,0,0,0,0,7
7NphqxE0,0,1,0,0,0,7
3HuCJIC6,0,0,1,0,1,6
elwHQjYp,0,1,0,0,0,7
AIKaPdhINV,2,0,2,0,0,6
y6qhnGfayI,1,0,1,0,0,8
VMozs6yDMq,0,0,0,1,0,9
UN5n0gL,0,0,0,0,1,6
gaX5wDEqFK,1,1,0,0,0,8
8bRsfLH5,0,0,0,0,0,8
3dqku1,0,0,0,0,1,5
uilJv5X9,0,0,1,0,1,6
7PFXatJ5,1,0,0,0,0,7
RTdyrT,0,0,0,0,0,6
B0QXRSTV,0,0,0,0,0,8
Qnnaw0hAma,3,0,0,0,0,7
MUkFc0Jg46,0,0,0,0,1,9
gqK8jI,0,0,1,0,0,5
QNqUxTjVM,0,0,0,0,1,8
MC0nfpFNRY,0,0,0,0,0,10
OjDgQt4,0,0,0,1,0,6
zOWPx7y,0,0,0,1,0,6
nhQIZ6bxu2,0,0,1,0,1,8
LDE6Lyj7,0,1,0,0,0,7
XI4tK0,0,0,1,0,0,5
xhEfJhuQ,0,1,0,0,1,6
AsBFI53srZ,1,0,1,0,0,8
p4g7bMAo,1,0,0,1,0,6
6Np7v2,0,0,0,0,0,6
gqBbg0zK,0,0,0,0,0,8
DUyVcJ3,0,0,0,0,1,6
mWe3FgJDC,0,1,0,0,0,8
fqKqJI,0,0,1,0,0,5
wSHgPqikZ,0,0,1,0,0,8
hozYL7K,0,0,0,1,0,6
DOUGdKcau,1,0,0,1,2,5
ISg1wpyG,0,0,1,0,0,7
FQbm9UVp,0,0,0,0,1,7
Aq6BOyi3,1,0,1,1,0,5
wqH4Mb,0,0,0,0,0,6
sPVs8zjPYT,0,0,0,0,0,10
ovajqvO,1,0,0,2,0,4
KgyeXs9Vj1,0,1,0,0,0,9
DPqgMR4d,0,0,0,0,0,8
W7nR2cP0l4,0,0,0,0,0,10
RlPzTEEaxn,1,2,0,0,0,7
SbrSB7ocuS,0,0,0,1,1,8
uZRT3Ylbg,0,0,0,0,1,8
YOBwxnf,0,0,0,1,0,6
5Q7xP2S,0,0,0,0,0,7
9WMwiKU8,0,0,1,0,1,6
6SLS9KLR5,0,0,0,0,0,9
OgdqxUq,0,0,0,1,1,5
9aKDzfpXgJ,1,0,0,0,0,9
yYJe9R,0,1,0,0,0,5
kumvE62,0,1,0,0,1,5
Jgefz5G,0,1,0,0,0,6
LE1T2Ad69,1,1,0,0,0,7
aUjJMxr,1,0,0,0,1,5
vK4B03179,0,0,0,0,0,9
xE83Shi,0,1,1,0,0,5
soTjwCI,0,0,1,1,0,5
SUzSbzlZUX,0,0,0,0,2,8
UjSkepBWGb,0,1,0,0,1,8
rabJsOW,1,0,0,1,0,5
a9zYlD1,1,0,0,0,0,6
uCPNPwJO,0,0,0,1,1,6
fNESS5L,0,1,0,0,0,6
ZwH9mBuqy,0,0,0,0,1,8
oCivwesnM5,0,1,1,1,0,7
5wfiTDy,0,0,1,0,0,6
8T74gJ,0,0,0,0,0,6
rdPCYs,0,0,0,0,0,6
BXlVUcyEG,0,1,0,0,1,7
wvUUMpV,0,0,0,0,2,5
YfYIG4IFSC,0,0,2,0,0,8
vyy4zNM,0,0,0,0,0,7
SzjcE5,0,1,0,0,0,5
iatFva,2,0,1,0,0,3
mHHIypa9,1,0,1,0,0,6
3YEyJx,0,1,0,0,0,5
y4LhBm,0,0,0,0,0,6
vpMC2EwhRt,0,1,0,0,0,9
K0Ql2wGQ,0,0,0,0,0,8
Ug1XXXV,0,0,0,0,1,6
u6iCBy,0,0,1,0,1,4
TJwWnn,0,0,0,0,0,6
vkz6aK,1,0,0,0,0,5
WBGyw4,0,0,0,0,0,6
bAfvH9ZR3t,1,0,0,0,0,9
A66gqXHQ9,1,0,0,0,0,8
IEyHzUq2,0,1,1,0,1,5
xFHqZXT,0,0,0,0,0,7
yslhkyJPuu,0,0,0,0,2,8
wxLeNG,0,1,0,0,0,5
cSe8VWS,0,1,0,0,0,6
rf4DSE0b,0,1,0,0,0,7
9l4UmViiJM,0,0,2,0,1,7
JBClofNV,0,0,0,1,0,7
N3iobDN,0,0,1,1,0,5
iRwnuP4MHp,0,0,1,0,1,8
reXStH,0,1,0,0,0,5
4V6xfJtP,0,0,0,0,0,8
lNBmgcI,0,0,1,0,0,6
lJJyilezU,0,1,1,0,1,6
mqSlkGJ,0,0,0,0,0,7
pX7khskkxJ,0,0,0,0,0,10
lBbRoZZNl,0,0,0,1,0,8
06qUAG,1,0,0,0,1,4
EUDNlX7,0,1,0,0,1,5
9O5GODRCgc,0,0,0,2,0,8
uPlWnvf,0,0,0,0,1,6
Ehw5pPgy8,0,1,0,0,0,8
EYveWq,0,2,0,0,0,4
8Qg99xA,1,0,0,0,0,6
MzgkHen,0,1,0,0,0,6
c4SDfpmuq,0,0,0,0,1,8
YKs3RFgv,0,0,0,0,0,8
jxHsy7yooF,0,0,0,2,0,8
rYhZWsI,0,0,1,0,0,6
bZFYBY5,0,0,0,0,0,7
zOCZqOm,0,0,0,2,0,5
TwSVjeehD,0,2,0,0,0,7
wBJYSfH,0,0,0,0,0,7
hFfEk3D,0,1,0,0,0,6
wdXfRo5Q,0,0,0,1,0,7
1o950W,0,0,0,1,0,5
zD5FKpnl,0,0,0,0,0,8
1RpGLbNVZx,0,0,0,0,0,10
wIEbu4jHPU,0,1,1,0,2,6
aeSlqV,1,1,0,0,0,4
hwRtzd,0,0,0,0,0,6
JqFa38,1,0,0,0,0,5
LgZtYYRc,0,0,0,0,0,8
9qnylCDMd7,0,0,0,0,0,10
pE20vw,0,1,0,0,0,5
Okw4i2JZgC,0,0,1,1,0,8
BI0h48TvP,0,0,1,0,0,8
h7Nyslz1Yk,0,0,0,0,0,10
lZSULH32P,0,0,0,0,1,8
sE5FZlxcYa,1,1,0,0,0,8
ihq078Xs0,0,0,1,0,0,8
M6FfJKZd,0,0,0,0,0,8
0yLFNpc,0,0,0,0,0,7
MU8Y9VRp,0,0,0,0,1,7
ZngWNSs40S,0,0,0,0,0,10
sQEObB,0,1,0,1,0,4
I0uDTdH5,0,0,1,0,1,6
juLJOdrs24,0,0,0,1,1,8
